name	x	y
Sedoglavic, Alexandre	813.8182283127828	1765.2594457670928
Marin, J.-M.	1233.0633866829223	-202.29377137902014
Szydlarski, Mikolaj	751.074275846915	-698.1576006149307
Doghmen, Hassen	1087.6271467811487	466.22488862664056
Boscain, Ugo	1637.231726691818	1899.5280372284144
Ségonne, Florent	881.4508183491125	-448.4596349342341
Fursin, Grigori	-513.7680149845057	-101.10860569283706
Tafat, Asma	-340.1754124607943	617.8125189777766
Lutton, Evelyne	873.2408379886562	682.2974642521305
Matignon, Denis	1912.041308758524	-90.28723120829021
Froidevaux, Christine	-517.6475022146634	-642.0760990279568
Kondo, Derrick	840.8358529093683	84.54773185061545
Kokkinos, Iasonas	2373.3764577794323	405.2807235880343
Avila Alonso, Jose Luis	1249.4856785544246	1540.3291612925605
Pérez, Julien	1076.309253891002	528.8992080088333
Mahboubi, Assia	-364.95488014897126	596.052183091965
Polyzotis, Neoklis	262.1845116548398	859.0117916350738
Kramer, Simon	-927.1810840324935	885.7163218042468
Barbillon, Pierre	1265.5660633373604	-60.48869741919415
Feng, Lou	-146.58355511629668	-496.34913958800837
Matthias, Brendel	1099.124677366572	582.1208042405002
Pamphile, Patrick	1222.0230614288755	11.287456632279518
Valencia, Frank D.	-1023.3037248607058	752.4133511073188
Arnold, Ludovic	1148.1738356025287	675.0279677014368
Fillard, P.	1534.9659689069945	-496.6662316748916
Balaguer, Sandie	203.72155725382055	2105.6696848864317
Merigot, Quentin	592.160284615318	-383.3997125496701
Burman, Janna	254.63038919680736	59.96932592046745
Rousset, Marie-Christine	302.4184864419758	895.6142538288624
Bokanowski, Olivier	-1220.1236144522552	282.8858875190963
Herbin, Erick	791.9835517002011	576.4432420346507
Bezerianos, Anastasia	914.012370264753	1003.5917004049584
Parisot, Sarah	2185.7577501553005	702.7155318541536
Gastin, Paul	141.0422415929317	2245.9654068993887
Halle, Sean	-387.39477164576715	37.74072455537129
Liu, Lining	790.1081099506301	605.2111419726228
Pino, Luis	-970.1120137436918	820.3970024748228
Fioravanti, André R.	1316.0419289285778	1553.6166399133817
Azé, Jérôme	-814.4489171745207	-745.9584164349886
Cohen, A.	-718.063314055146	192.00408197834327
Fellahi, Mohammed	-502.8370960316325	-17.652628311167557
Arlot, Sylvain	1105.6206835855899	-220.92320603943276
Cancino Ticona, Waldo Gonzalo	870.9338361762009	804.3576397208157
Pons, Jean-Philippe	891.8664447736563	-433.45152977935356
Marlet, R.	1086.2513120862507	-1292.9892879393797
compose	1153.0890355743702	-1260.1371372436383
Cossonnière, Anne	1940.9268848084773	-153.76123872231392
Baazizi, Amine	359.5640969809627	832.6507464145661
Pellenard, Bertrand	656.5618029597757	-623.0854307896121
Rennecke, Jörn	-559.2527012272872	-107.6318225328355
Boujemaa, Nozha	82.24180341914762	1532.3813866853295
Massart, Pascal	1106.2987534076372	-257.28180712686805
Moireau, Philippe	1124.736361091961	-549.6104409424256
Nauroy, Julien	1395.4062910980654	868.5467674801681
Faure, Guillaume	805.0937927515594	1051.4249486656938
Hornus, Samuel	614.6530873240711	-543.7555401980821
Miranda, Cupertino	-504.44710982532115	-69.65862001392136
Pantz, Olivier	1531.7089639533456	-489.57283788871024
Chatzikokolakis, Konstantinos	-916.7297125676829	777.8076667830617
