StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex,AvgDistance,MinDistance
71186,98291,189183,, ,,,19.97063562,16.49374796,274.7252747,6.86,-0.334493082,B8 ,-0.021,0.025143,0
33602,45411,79753,, ,,,9.2539238,-19.59608656,364.9635036,7.46,-0.351247186,B9III ,-0.021,0.02575,0.000004
72492,99997,193159,, ,,,20.28681291,40.59139424,322.5806452,7.14,-0.403191531,B8 ,-0.021,0.027676,0.000001
35565,47962,84929,, ,,,9.77402738,-59.35269848,342.4657534,6.86,-0.813085743,B9.5V ,-0.021,0.044848,0.000002
39197,52877,93427,4215,, ,,10.8138507,65.13247352,128.8659794,6.4,0.849308606,A1V ,-0.022,0.00017,0.000003
83521,115115,219832,8865,, 95Psi3Aqr,,23.31601414,-9.610731,76.33587786,4.99,0.576356478,A0V ,-0.022,0.002362,0
5608,8016,10250,480,, 42 Cas,,1.71548024,70.62255881,86.05851979,5.18,0.50603064,B9V ,-0.022,0.003312,0
42892,58188,103632,4567,, 30Eta Crt,,11.93360653,-17.15080863,87.56567426,5.17,0.45833052,A0V ,-0.022,0.004041,0.00001
17583,24831,34868,1758,, ,,5.32324642,-27.3688642,136.7989056,5.98,0.299586885,A0V ,-0.022,0.006946,0.000009
8899,12708,17098,814,, ,,2.72228446,-40.52793963,168.0672269,6.35,0.222584829,B9V ,-0.022,0.008611,0.000001
14302,20354,27396,1350,, 53 Per,,4.35920796,46.4989629,142.2475107,4.8,-0.965223375,B4IV ,-0.022,0.052009,0.000003
18493,26064,36576,1858,,120 Tau,,5.55878604,18.54023092,574.7126437,5.67,-3.127253759,B2IV-Ve ,-0.022,0.179058,0.00001
22820,31558,47139,, ,,,6.60567519,-19.49211709,154.3209877,7.41,1.467875029,B9IV/V ,-0.022,0.003878,0.000002
12288,17549,23267,, ,,,3.75862327,42.006997,136.425648,6.89,1.215519873,A0 ,-0.022,0.001133,0
30478,41402,71721,, ,,,8.44602335,-48.95620014,175.4385965,7.36,1.139374278,B9V ,-0.022,0.000598,0
85534,118004,224235,, ,,,23.93543006,33.48751672,158.4786054,7.08,1.080146796,B9 ,-0.022,0.000291,0.000001
24086,33170,51042,, ,,,6.90411382,-34.22288574,220.7505519,7.33,0.61049101,A1IV ,-0.022,0.001953,0
67641,93656,177829,, ,,,19.07103488,43.88037616,189.3939394,6.99,0.603169613,B9 ,-0.022,0.002037,0
40730,55019,98022,, ,,,11.26491598,-47.92083433,158.4786054,6.54,0.540146796,A0V ,-0.022,0.002833,0.000002
11764,16782,22136,, ,,,3.59957528,47.09109076,219.2982456,6.89,0.184824213,B8V ,-0.022,0.009487,0
2795,4017,4902,, ,,,0.85836967,41.23185846,297.6190476,7.26,-0.108303613,A0 ,-0.022,0.017543,0
68300,94526,180124,, ,,,19.23867802,25.01322605,392.1568627,7.19,-0.777299098,B8 ,-0.022,0.043219,0.000002
63890,88720,165365,, ,,,18.11272052,-28.36379424,418.4100418,7.1,-1.008010495,B7/B8III ,-0.022,0.054087,0.000001
22056,30583,45382,, ,,,6.42791069,-29.70297256,398.4063745,6.89,-1.111631393,A0V ,-0.022,0.059241,0.000007
50565,69584,124182,, ,,,14.24305543,-66.15414127,591.7159763,6.95,-1.910566477,B5III ,-0.022,0.103396,0.000002
23960,33005,50228,, ,,,6.87750151,7.82222609,751.8796992,7.47,-1.910741795,B5 ,-0.022,0.103406,0
21272,29636,43044,, ,,,6.24518535,14.5863482,900.9009009,7.02,-2.753385106,B8V ,-0.022,0.155149,0.000027
25089,34454,54493,, ,,,7.14228722,-12.88593117,5000,7.2,-6.294850022,B2IV ,-0.022,0.390399,0.000474
46117,62956,112185,4905,, 77Eps UMa,Alioth,12.9004536,55.95984301,24.81389578,1.76,-0.213474769,A0p ,-0.022,0.020936,0
18039,25453,35656,1807,, ,,5.44411782,6.86873694,93.6329588,6.41,1.552856263,A0Vn ,-0.023,0.005097,0.000003
32211,43620,76346,3549,, ,,8.88438958,-56.64957371,90.82652134,6.02,1.228936595,A0V ,-0.023,0.001241,0
7605,10893,14171,668,, ,,2.33690993,64.33693546,144.3001443,6.59,0.793666173,B9.5V ,-0.023,0.000412,0.000003
45503,62026,110461,4832,, ,,12.71383215,-55.94696105,114.0250855,6.06,0.774997967,B9V ,-0.023,0.000518,0.000002
17511,24732,33541,1683,, ,,5.3036813,73.26813649,110.0110011,5.81,0.602819416,A0V ,-0.023,0.002042,0
45444,61932,110304,4819,, Gam Cen,,12.69200138,-48.95988553,39.9840064,2.2,-0.809431541,A1IV ,-0.023,0.044681,0.000012
393,531,144,7,, 10 Cas,,0.10736857,64.19616859,301.2048193,5.57,-1.824309581,B9III ,-0.023,0.098338,0.000016
52917,73129,131492,5551,, The Cir,,14.9455562,-62.78098762,255.7544757,5.08,-1.959116213,B4Vnp ,-0.023,0.106268,0.000004
64439,89440,167263,6823,, 16 Sgr,,18.25360254,-20.38796936,10000000,5.96,-9.04,B0.5Ib/II ,-0.023,0.578241,0.000673
38754,52261,92715,, ,,,10.67836928,-64.65321843,130.7189542,6.81,1.228307176,B9.5V ,-0.023,0.001236,0.000001
26794,36687,60086,, ,,,7.54704597,-2.03434617,156.25,6.82,0.85089987,A0 ,-0.023,0.000164,0
58228,80957,148431,, ,,,16.53091516,-62.29020989,229.3577982,7.24,0.437432446,B9IV/V ,-0.023,0.004383,0
34861,47022,82865,, ,,,9.58325013,12.65456383,192.6782274,6.81,0.385836789,B9 ,-0.023,0.00528,0.000001
66353,91987,173371,, ,,,18.74886485,-0.37339176,231.4814815,6.89,0.067418734,B9III ,-0.023,0.012455,0.000001
3879,5536,6948,, ,,,1.1829766,56.77441961,289.8550725,7.24,-0.070904525,B9 ,-0.023,0.016397,0.000001
77268,106293,205116,, ,,,21.52844195,48.58466541,289.017341,6.84,-0.464619506,A0III: ,-0.023,0.030029,0.00001
69329,95879,183969,, ,,,19.49969508,46.94648564,296.735905,6.88,-0.481850496,A0 ,-0.023,0.030703,0.000004
54776,75884,137753,, ,,,15.49955086,-52.30281281,313.4796238,6.7,-0.781046585,B7IV ,-0.023,0.043388,0.000001
41980,56841,101312,, ,,,11.65296585,-57.73952775,355.8718861,6.97,-0.7864684,A0V ,-0.023,0.043634,0.000002
24141,33239,50634,, ,,,6.91576508,21.57137242,414.9377593,6.98,-1.109914787,B9 ,-0.023,0.059154,0.000001
30390,41293,71634,, ,,,8.42507633,-58.13322837,401.6064257,6.65,-1.369003265,B7IV ,-0.023,0.072709,0.000003
47408,64940,115564,, ,,,13.31199116,-49.87827225,584.7953216,7.35,-1.485019448,B8III ,-0.023,0.079047,0
1460,2036,2083,, ,,,0.43090008,71.80712256,934.5794393,6.91,-2.943081112,B1V ,-0.023,0.167223,0.000006
33733,45585,80950,3721,, ,,9.29100946,-74.73467629,80.84074373,5.86,1.321848498,A0V ,-0.024,0.002115,0.000004
37410,50459,89239,4041,, ,,10.30292523,27.41545461,127.7139208,6.53,0.99880881,A0V ,-0.024,0.000046,0.000004
56981,79153,144480,5994,, Iot2Nor,,16.15515649,-57.93417299,83.19467554,5.57,0.969522338,B9V ,-0.024,0.000009,0
30514,41451,72337,3370,, ,,8.4546632,-70.09359517,87.48906387,5.51,0.800231152,A0V ,-0.024,0.000378,0.000001
20679,28909,42525,2194,, Eta1Dor,,6.10260062,-66.03968885,101.8329939,5.72,0.680557439,A0V ,-0.024,0.001233,0.000002
2363,3356,4065,185,, Lam1Scl,,0.71191387,-38.46346745,132.4503311,6.05,0.439734758,B9.5V ,-0.024,0.004346,0.000005
28797,39236,65873,3134,, 5 Cnc,,8.02507938,16.45532309,144.7178003,5.99,0.187390237,B9.5Vn ,-0.024,0.009426,0.000003
8973,12803,17036,809,, 37Omi Ari,,2.74249199,15.31189952,147.9289941,5.78,-0.07026652,B9Vn ,-0.024,0.016378,0.000001
25780,35345,56386,2757,, ,,7.30113727,30.95592678,187.6172608,6.19,-0.176363955,A0Vn ,-0.024,0.01971,0
23562,32492,49229,2504,, 11 CMa,,6.78085938,-14.42599569,196.8503937,5.28,-1.190681439,B8/B9III ,-0.024,0.063277,0.000012
56748,78821,144218,5985,, 8Bet2Sco,,16.09071534,-19.80184191,347.2222222,4.9,-2.803037561,B2V ,-0.024,0.158295,0.000006
76732,105595,203783,, ,,,21.3881996,39.34966708,163.9344262,7.34,1.266649175,B9 ,-0.024,0.001573,0.000005
47577,65178,115988,, ,,,13.35720303,-43.63428489,128.3697047,6.67,1.127687288,B9V ,-0.024,0.000529,0.000001
24580,33803,52899,, ,,,7.01824225,-40.79497408,178.8908766,7.36,1.097059039,A0V ,-0.024,0.000368,0.000008
45145,61471,109615,, ,,,12.59648476,39.68374138,185.1851852,7.28,0.941968799,A0V ,-0.024,0.000001,0.000005
66167,91744,171722,, ,,,18.70833513,-70.30312137,195.6947162,7.25,0.792104501,B9V ,-0.024,0.000421,0
25959,35588,57918,, ,,,7.34417256,-52.19871393,171.2328767,6.9,0.732064236,F3/F5V ,-0.024,0.000807,0.000003
44996,61257,109195,, ,,,12.55339368,-52.08281279,148.1481481,6.55,0.696518864,B9V ,-0.024,0.001091,0
